No,Project,Priority,Indikator,Phase/Delay,Platform,DAG ID,Assets,Database Name,Table Name,Layer Bucket,Dataset BQ,Config (.cfg),Parameter SP,Target Layer,Script/File,Script File,Tool Target GCP,Schedule/Cadence,Initial Landing,Initial Mart,DA Maping,ETL Conversion,Incremental,Internal Testing,PQA Test,BI Dev,Orchestration,Labeling Charging,Dataplex,Sign-off Document,Last Updated
1,dragon,P2,dragon,,Cloudera,dragon,,,,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,,dragon.py,,Daily 00 14 * * *,Completed,Completed,Completed,In Progress,,,,,,,,,2026-05-13
2,dragon,P1,dragon_L1,,Cloudera,dragon_L1,,,,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,,dragon_L1.py,,-,Completed,Completed,Completed,In Progress,,,,,Done,,,,2026-05-13
1,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,start,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon_L1.py,SKIP (Orchestration),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
2,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,finish,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon_L1.py,SKIP (Orchestration),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
3,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,schedule_6AM,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon_L1.py,SKIP (Orchestration),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
4,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_CLOUDERA.region,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
5,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_user_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
6,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_user_motorcycle_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
7,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_recap_leads_h1_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
8,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_recap_leads_h1_fif_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
9,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_recap_leads_h3_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
10,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_recap_leads_h3_items_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
11,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_daerah_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
12,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_booking_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
13,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_booking_kpb_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
14,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_kpb_request_details,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
15,,P1,dragon_L1,-,Cloudera,dragon_L1,,opr_ast_so2w_wh_dm,L1_MOTORKUX_ARBORVITAE.motorkux_apin_event_log_detail,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,fabric_job_trigger.py,dragon_L1.py,SKIP (L1 Deferred),-,Completed,Completed,Completed,Skip,,Skip,,,Done,,,,2026-05-13
